sector,filename
BasicIndustries,cde_20190807_10q_1.xml
BasicIndustries,ufs_20200508_10q_THISQ.xml
BasicIndustries,tpc_20190808_10q_0.xml
BasicIndustries,flr_20191031_10q_0.xml
BasicIndustries,lyb_20190802_10q_1.xml
BasicIndustries,kop_20191107_10q_0.xml
BasicIndustries,nue_20200513_10q_THISQ.xml
BasicIndustries,glw_20200505_10q_THISQ.xml
BasicIndustries,mas_20190725_10q_1.xml
BasicIndustries,alb_20191106_10q_0.xml
BasicIndustries,trox_20191112_10q_0.xml
BasicIndustries,kbr_20190731_10q_1.xml
BasicIndustries,esi_20191107_10q_0.xml
BasicIndustries,ce_20190723_10q_1.xml
BasicIndustries,sum_20190801_10q_1.xml
BasicIndustries,j_20190805_10q_0.xml
BasicIndustries,scl_20200430_10q_THISQ.xml
BasicIndustries,twi_20190503_10q_0.xml
BasicIndustries,nem_20200505_10q_THISQ.xml
BasicIndustries,smg_20200205_10q_1.xml
BasicIndustries,axta_20191025_10q_0.xml
BasicIndustries,lpx_20191105_10q_0.xml
BasicIndustries,swm_20200506_10q_THISQ.xml
BasicIndustries,esi_20200430_10q_THISQ.xml
BasicIndustries,twi_20191107_10q_0.xml
BasicIndustries,door_20191105_10q_0.xml
BasicIndustries,ryam_20190807_10q_0.xml
BasicIndustries,npo_20190802_10q_0.xml
BasicIndustries,cc_20190503_10q_0.xml
BasicIndustries,vvv_20190801_10q_0.xml
BasicIndustries,cva_20190726_10q_0.xml
BasicIndustries,trex_20200504_10q_THISQ.xml
BasicIndustries,mdu_20190503_10q_1.xml
BasicIndustries,sky_20200129_10q_1.xml
BasicIndustries,lpx_20190806_10q_1.xml
BasicIndustries,door_20190806_10q_1.xml
BasicIndustries,cf_20190502_10q_1.xml
BasicIndustries,scl_20191030_10q_0.xml
BasicIndustries,ryi_20200506_10q_THISQ.xml
BasicIndustries,mlm_20190501_10q_1.xml
BasicIndustries,foe_20200511_10q_THISQ.xml
BasicIndustries,hcr_20190507_10q_0.xml
BasicIndustries,crs_20200430_10q_THISQ.xml
BasicIndustries,lyb_20191101_10q_0.xml
BasicIndustries,chd_20190502_10q_1.xml
BasicIndustries,emn_20190503_10q_0.xml
BasicIndustries,dow_20191025_10q_0.xml
BasicIndustries,fcx_20190806_10q_1.xml
BasicIndustries,ibp_20191101_10q_0.xml
BasicIndustries,emn_20200511_10q_THISQ.xml
BasicIndustries,trex_20190729_10q_0.xml
BasicIndustries,rfp_20200511_10q_THISQ.xml
BasicIndustries,kwr_20200511_10q_THISQ.xml
BasicIndustries,pg_20200420_10q_THISQ.xml
BasicIndustries,ufs_20190808_10q_1.xml
BasicIndustries,pqg_20190808_10q_1.xml
BasicIndustries,hun_20190730_10q_1.xml
BasicIndustries,slca_20191030_10q_0.xml
BasicIndustries,apd_20200124_10q_1.xml
BasicIndustries,wlk_20200506_10q_THISQ.xml
BasicIndustries,rog_20191031_10q_0.xml
BasicIndustries,cde_20191104_10q_0.xml
BasicIndustries,tpc_20191106_10q_0.xml
BasicIndustries,fcx_20200507_10q_THISQ.xml
BasicIndustries,wlkp_20191106_10q_0.xml
BasicIndustries,mtz_20200430_10q_THISQ.xml
BasicIndustries,scco_20200504_10q_THISQ.xml
BasicIndustries,cmp_20191106_10q_0.xml
BasicIndustries,bdc_20190506_10q_0.xml
BasicIndustries,sxt_20190805_10q_0.xml
BasicIndustries,apd_20190725_10q_1.xml
BasicIndustries,ecl_20200507_10q_THISQ.xml
BasicIndustries,gra_20191107_10q_0.xml
BasicIndustries,pol_20190725_10q_1.xml
BasicIndustries,smg_20190807_10q_1.xml
BasicIndustries,kbr_20191031_10q_0.xml
BasicIndustries,bld_20190801_10q_1.xml
BasicIndustries,wlkp_20190806_10q_1.xml
BasicIndustries,sxt_20191105_10q_0.xml
BasicIndustries,gra_20190508_10q_0.xml
BasicIndustries,nue_20191106_10q_0.xml
BasicIndustries,mdu_20191101_10q_0.xml
BasicIndustries,rpm_20200108_10q_1.xml
BasicIndustries,lin_20190809_10q_1.xml
BasicIndustries,esi_20190802_10q_1.xml
BasicIndustries,sxc_20191105_10q_0.xml
BasicIndustries,hcr_20191105_10q_0.xml
BasicIndustries,mtx_20191101_10q_0.xml
BasicIndustries,emn_20191101_10q_0.xml
BasicIndustries,axta_20190725_10q_1.xml
BasicIndustries,vvv_20200507_10q_THISQ.xml
BasicIndustries,clh_20190731_10q_1.xml
BasicIndustries,pqg_20191105_10q_0.xml
BasicIndustries,gra_20190807_10q_1.xml
BasicIndustries,clf_20200511_10q_THISQ.xml
BasicIndustries,ppg_20191018_10q_0.xml
BasicIndustries,apd_20190424_10q_0.xml
BasicIndustries,mlm_20190731_10q_1.xml
BasicIndustries,asix_20200501_10q_THISQ.xml
BasicIndustries,cvia_20190808_10q_1.xml
BasicIndustries,cc_20200506_10q_THISQ.xml
BasicIndustries,jeld_20200506_10q_THISQ.xml
BasicIndustries,swm_20191104_10q_0.xml
BasicIndustries,aes_20200507_10q_THISQ.xml
BasicIndustries,len_20190408_10q_1.xml
BasicIndustries,aes_20190507_10q_0.xml
BasicIndustries,crs_20191024_10q_0.xml
BasicIndustries,cf_20191031_10q_0.xml
BasicIndustries,lxfr_20200427_10q_THISQ.xml
BasicIndustries,uan_20191024_10q_0.xml
BasicIndustries,gcp_20200507_10q_THISQ.xml
BasicIndustries,bdc_20191104_10q_0.xml
BasicIndustries,ryam_20191107_10q_0.xml
BasicIndustries,see_20191108_10q_0.xml
BasicIndustries,cva_20181026_10q_1.xml
BasicIndustries,ngvt_20200430_10q_THISQ.xml
BasicIndustries,door_20190502_10q_1.xml
BasicIndustries,chd_20191031_10q_0.xml
BasicIndustries,aa_20200429_10q_THISQ.xml
BasicIndustries,ifft_20200511_10q_THISQ.xml
BasicIndustries,oln_20191101_10q_0.xml
BasicIndustries,ftk_20200612_10q_THISQ.xml
